"pontoId","lat","lon","pathBTS1","pathBTS2","pathBTS3","pathBTS4","pathBTS5","pathBTS6","taBTS1","taBTS2","taBTS3","taBTS4","taBTS5","taBTS6"
706,-8.07345,-34.890553,96.59,133.323333333333,126.956666666667,114.823333333333,114.456666666667,140.823333333333,1,0,3,0,1,1
1253,-8.070709,-34.8922,106.556666666667,128.323333333333,120.523333333333,112.156666666667,105.79,121.69,0,1,3,1,1,1
1277,-8.070637,-34.891819,104.09,128.79,119.74,108.44,101.59,133.89,0,1,3,1,1,1
1888,-8.068808,-34.896194,108.74,120.99,116.94,104.04,122.14,111.44,0,1,2,1,1,0
1016,-8.072221,-34.896675,101.34,98.74,110.64,93.84,123.29,120.94,1,0,2,0,1,1
2532,-8.065207,-34.886093,121.023333333333,128.79,133.89,128.056666666667,122.723333333333,135.023333333333,1,2,4,2,0,1
830,-8.072858,-34.896389,107.623333333333,106.79,119.956666666667,97.19,126.69,123.956666666667,1,0,2,0,1,1
2684,-8.063892,-34.901459,138.056666666667,124.323333333333,130.723333333333,118.49,131.456666666667,120.69,1,2,2,2,2,1
1758,-8.069163,-34.896523,115.39,104.923333333333,101.856666666667,93.3566666666667,106.956666666667,102.356666666667,0,1,2,1,1,1
2119,-8.067883,-34.892616,127.856666666667,126.19,127.29,118.256666666667,114.723333333333,110.256666666667,0,1,3,1,0,0
2509,-8.065397,-34.886631,119.556666666667,129.056666666667,133.523333333333,128.756666666667,114.723333333333,129.956666666667,1,2,4,2,0,1
2218,-8.066977,-34.896061,116.856666666667,119.023333333333,122.123333333333,113.423333333333,130.256666666667,93.9566666666667,0,1,3,1,1,0
1985,-8.068571,-34.891151,121.356666666667,126.123333333333,120.856666666667,118.99,102.69,104.756666666667,0,1,3,1,0,1
2474,-8.065656,-34.887474,119.323333333333,134.823333333333,131.99,123.656666666667,121.69,131.59,1,2,4,2,0,1
2702,-8.063787,-34.889046,124.89,132.356666666667,129.223333333333,129.223333333333,130.19,140.356666666667,1,2,4,2,0,1
672,-8.073761,-34.8983,124.756666666667,98.5233333333333,97.3566666666667,100.29,134.39,127.756666666667,1,0,2,0,2,2
555,-8.07443,-34.890228,95.1233333333333,133.923333333333,123.656666666667,113.49,121.356666666667,135.923333333333,1,0,3,0,1,2
1463,-8.069942,-34.890179,105.656666666667,140.623333333333,126.456666666667,127.323333333333,113.89,128.79,0,1,3,1,0,1
2701,-8.063788,-34.901455,140.09,125.74,127.69,127.29,134.04,127.39,1,2,2,2,2,1
2807,-8.062873,-34.887165,136.156666666667,132.623333333333,136.323333333333,137.923333333333,143.523333333333,144.623333333333,1,3,4,3,0,1
1780,-8.069102,-34.89579,108.015,124.09,121.19,109.265,109.965,117.29,0,1,2,1,1,0
2143,-8.067572,-34.900764,113.89,106.323333333333,110.99,107.023333333333,119.156666666667,108.49,1,2,2,2,2,1
503,-8.074739,-34.890636,113.69,120.323333333333,129.99,96.0233333333333,122.656666666667,147.256666666667,1,0,3,0,1,2
651,-8.073868,-34.900471,120.99,119.19,119.19,126.34,141.94,135.49,1,1,1,1,2,2
2302,-8.066446,-34.895512,110.79,119.04,123.89,122.34,127.49,103.24,0,1,3,1,1,0
1651,-8.06944,-34.90065,119.323333333333,126.923333333333,118.856666666667,122.29,131.056666666667,121.356666666667,1,1,2,1,2,1
2692,-8.063851,-34.897186,124.89,105.89,122.856666666667,92.3233333333333,128.223333333333,111.29,1,2,3,2,1,0
2612,-8.06445,-34.894356,132.923333333333,117.756666666667,127.923333333333,136.09,122.956666666667,116.223333333333,0,2,3,2,1,0
1212,-8.070819,-34.890694,112.59,115.99,121.99,100.24,93.59,131.04,0,1,3,1,1,1
859,-8.072707,-34.890644,102.956666666667,127.023333333333,123.79,108.956666666667,104.39,129.856666666667,0,1,3,1,1,1
869,-8.072671,-34.894939,104.74,121.54,103.59,101.59,113.34,129.59,0,0,2,0,1,1
813,-8.072907,-34.895863,99.99,116.556666666667,122.323333333333,106.19,122.19,123.156666666667,1,0,2,0,1,1
2185,-8.067136,-34.893906,122.856666666667,135.356666666667,128.79,124.556666666667,123.223333333333,104.256666666667,0,1,3,1,0,0
748,-8.073196,-34.900597,126.29,117.556666666667,128.756666666667,124.423333333333,140.49,132.423333333333,1,1,1,1,2,2
1991,-8.068567,-34.889408,126.165,135.615,133.79,122.24,101.89,131.09,0,1,4,1,0,1
1777,-8.069118,-34.895737,105.723333333333,115.956666666667,117.056666666667,105.256666666667,119.89,116.39,0,1,2,1,1,0
2639,-8.064171,-34.897076,129.623333333333,105.59,129.556666666667,102.29,127.556666666667,117.723333333333,1,2,3,2,1,0
1574,-8.069628,-34.894806,101.34,118.94,119.84,114.69,105.09,105.19,0,1,2,1,1,1
